Instance,Algorithm,Representation,Residue,Time
1,Karmarkar-Karp,Karmarkar-Karp,89676,0.0
1,Repeated Random,standard,303400822,1.6165943145751953
1,Hill Climbing,standard,455108634,0.48902225494384766
1,Simulated Annealing,standard,7748422,0.4174525737762451
1,Repeated Random,prepartition,70,5.733617782592773
1,Hill Climbing,prepartition,1688,2.422203540802002
1,Simulated Annealing,prepartition,178,2.3166866302490234
2,Karmarkar-Karp,Karmarkar-Karp,719620,0.0
2,Repeated Random,standard,204780388,1.988628625869751
2,Hill Climbing,standard,464074872,0.48205995559692383
2,Simulated Annealing,standard,224155390,0.4582545757293701
2,Repeated Random,prepartition,714,4.918229341506958
2,Hill Climbing,prepartition,278,2.377211570739746
2,Simulated Annealing,prepartition,146,2.3294405937194824
3,Karmarkar-Karp,Karmarkar-Karp,126909,0.0
3,Repeated Random,standard,152132505,2.0815625190734863
3,Hill Climbing,standard,347563737,0.4961967468261719
3,Simulated Annealing,standard,91396505,0.5562729835510254
3,Repeated Random,prepartition,77,4.536046981811523
3,Hill Climbing,prepartition,629,2.2940573692321777
3,Simulated Annealing,prepartition,225,2.2919280529022217
4,Karmarkar-Karp,Karmarkar-Karp,33035,0.001016378402709961
4,Repeated Random,standard,660400711,1.8035717010498047
4,Hill Climbing,standard,217978061,0.4072563648223877
4,Simulated Annealing,standard,145328763,0.5077435970306396
4,Repeated Random,prepartition,197,4.699172019958496
4,Hill Climbing,prepartition,859,2.26896595954895
4,Simulated Annealing,prepartition,85,2.3034183979034424
5,Karmarkar-Karp,Karmarkar-Karp,82983,0.0
5,Repeated Random,standard,115107731,1.95271635055542
5,Hill Climbing,standard,129379917,0.4319267272949219
5,Simulated Annealing,standard,173947601,0.38500070571899414
5,Repeated Random,prepartition,119,4.360438108444214
5,Hill Climbing,prepartition,801,2.253633499145508
5,Simulated Annealing,prepartition,73,6.635820388793945
6,Karmarkar-Karp,Karmarkar-Karp,481354,0.0
6,Repeated Random,standard,71159784,1.52622652053833
6,Hill Climbing,standard,162989394,0.48613858222961426
6,Simulated Annealing,standard,474766364,0.4323117733001709
6,Repeated Random,prepartition,60,4.265019178390503
6,Hill Climbing,prepartition,1016,2.3379926681518555
6,Simulated Annealing,prepartition,310,2.3231453895568848
7,Karmarkar-Karp,Karmarkar-Karp,52994,0.0
7,Repeated Random,standard,115955482,1.9238390922546387
7,Hill Climbing,standard,536192030,0.4516744613647461
7,Simulated Annealing,standard,176385092,0.4807405471801758
7,Repeated Random,prepartition,58,4.81130051612854
7,Hill Climbing,prepartition,36,2.334480047225952
7,Simulated Annealing,prepartition,228,2.383713960647583
8,Karmarkar-Karp,Karmarkar-Karp,20747,0.0
8,Repeated Random,standard,201818915,2.1241307258605957
8,Hill Climbing,standard,8297933,0.4605541229248047
8,Simulated Annealing,standard,116390583,0.5093631744384766
8,Repeated Random,prepartition,479,4.961015224456787
8,Hill Climbing,prepartition,357,2.2688279151916504
8,Simulated Annealing,prepartition,37,2.315790891647339
9,Karmarkar-Karp,Karmarkar-Karp,62516,0.0
9,Repeated Random,standard,468633760,2.1733970642089844
9,Hill Climbing,standard,195987224,0.47801828384399414
9,Simulated Annealing,standard,838824930,0.4543311595916748
9,Repeated Random,prepartition,202,4.746763229370117
9,Hill Climbing,prepartition,836,2.320344924926758
9,Simulated Annealing,prepartition,108,2.3595080375671387
10,Karmarkar-Karp,Karmarkar-Karp,738096,0.0
10,Repeated Random,standard,272261378,1.2401652336120605
10,Hill Climbing,standard,475530716,0.29863691329956055
10,Simulated Annealing,standard,131397202,0.30913782119750977
10,Repeated Random,prepartition,14,5.086880683898926
10,Hill Climbing,prepartition,88,2.280482530593872
10,Simulated Annealing,prepartition,168,2.350290060043335
11,Karmarkar-Karp,Karmarkar-Karp,40623,0.0
11,Repeated Random,standard,395383345,2.2117626667022705
11,Hill Climbing,standard,10909669,0.47795557975769043
11,Simulated Annealing,standard,51188117,0.480806827545166
11,Repeated Random,prepartition,41,4.704533815383911
11,Hill Climbing,prepartition,53,2.2881596088409424
11,Simulated Annealing,prepartition,49,2.4857988357543945
12,Karmarkar-Karp,Karmarkar-Karp,136764,0.0
12,Repeated Random,standard,1380256794,2.2539472579956055
12,Hill Climbing,standard,546194182,0.45494580268859863
12,Simulated Annealing,standard,38530160,0.47872233390808105
12,Repeated Random,prepartition,52,5.00727105140686
12,Hill Climbing,prepartition,14,2.3313989639282227
12,Simulated Annealing,prepartition,28,2.3564698696136475
13,Karmarkar-Karp,Karmarkar-Karp,174305,0.0
13,Repeated Random,standard,373248463,2.1238062381744385
13,Hill Climbing,standard,290769367,0.4528183937072754
13,Simulated Annealing,standard,315674473,0.6308972835540771
13,Repeated Random,prepartition,383,4.800780534744263
13,Hill Climbing,prepartition,125,2.347785234451294
13,Simulated Annealing,prepartition,239,2.4182162284851074
14,Karmarkar-Karp,Karmarkar-Karp,227234,0.0
14,Repeated Random,standard,24604278,2.160482168197632
14,Hill Climbing,standard,287528472,0.44988512992858887
14,Simulated Annealing,standard,164957444,0.45799851417541504
14,Repeated Random,prepartition,98,4.734828233718872
14,Hill Climbing,prepartition,892,2.252415657043457
14,Simulated Annealing,prepartition,6,2.3069815635681152
15,Karmarkar-Karp,Karmarkar-Karp,146362,0.0
15,Repeated Random,standard,599301978,1.2681849002838135
15,Hill Climbing,standard,952099618,0.2995414733886719
15,Simulated Annealing,standard,60120270,0.31883764266967773
15,Repeated Random,prepartition,796,2.9967105388641357
15,Hill Climbing,prepartition,134,1.9853534698486328
15,Simulated Annealing,prepartition,168,2.3075225353240967
16,Karmarkar-Karp,Karmarkar-Karp,32174,0.0
16,Repeated Random,standard,38136744,1.2423107624053955
16,Hill Climbing,standard,297915860,0.29997682571411133
16,Simulated Annealing,standard,31550392,0.3096756935119629
16,Repeated Random,prepartition,94,3.902677059173584
16,Hill Climbing,prepartition,862,2.2928266525268555
16,Simulated Annealing,prepartition,324,2.32438325881958
17,Karmarkar-Karp,Karmarkar-Karp,133960,0.0
17,Repeated Random,standard,104727926,2.144075393676758
17,Hill Climbing,standard,489756964,0.452136754989624
17,Simulated Annealing,standard,139036766,0.47645139694213867
17,Repeated Random,prepartition,20,4.7261621952056885
17,Hill Climbing,prepartition,140,2.2954115867614746
17,Simulated Annealing,prepartition,82,2.3308663368225098
18,Karmarkar-Karp,Karmarkar-Karp,11002,0.0
18,Repeated Random,standard,510195500,2.139341115951538
18,Hill Climbing,standard,8227846,0.45142078399658203
18,Simulated Annealing,standard,11242192,0.4676346778869629
18,Repeated Random,prepartition,82,4.756255149841309
18,Hill Climbing,prepartition,836,2.3023877143859863
18,Simulated Annealing,prepartition,80,2.320366144180298
19,Karmarkar-Karp,Karmarkar-Karp,386,0.0
19,Repeated Random,standard,191608976,1.4402241706848145
19,Hill Climbing,standard,115933514,0.3010289669036865
19,Simulated Annealing,standard,216094648,0.30881619453430176
19,Repeated Random,prepartition,64,3.454352378845215
19,Hill Climbing,prepartition,384,2.306302070617676
19,Simulated Annealing,prepartition,24,2.308082103729248
20,Karmarkar-Karp,Karmarkar-Karp,158228,0.0
20,Repeated Random,standard,787829266,2.156452178955078
20,Hill Climbing,standard,346093808,0.43834686279296875
20,Simulated Annealing,standard,596258586,0.4867861270904541
20,Repeated Random,prepartition,86,4.76984977722168
20,Hill Climbing,prepartition,14,2.401973247528076
20,Simulated Annealing,prepartition,212,2.355137825012207
21,Karmarkar-Karp,Karmarkar-Karp,101157,0.0
21,Repeated Random,standard,349794483,2.20780611038208
21,Hill Climbing,standard,686939687,0.4784543514251709
21,Simulated Annealing,standard,356461753,0.4708726406097412
21,Repeated Random,prepartition,159,4.741053342819214
21,Hill Climbing,prepartition,59,2.6725590229034424
21,Simulated Annealing,prepartition,57,2.3612253665924072
22,Karmarkar-Karp,Karmarkar-Karp,561159,0.0
22,Repeated Random,standard,1425187239,2.0565943717956543
22,Hill Climbing,standard,443540921,0.478240966796875
22,Simulated Annealing,standard,128523153,0.4745485782623291
22,Repeated Random,prepartition,107,4.79439640045166
22,Hill Climbing,prepartition,739,2.352182626724243
22,Simulated Annealing,prepartition,253,2.309596538543701
